No1,Name1,No2,Name2,distance
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,5.916542687322079
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,5 AG,A/SWINE/MINNESOTA/A01567490/2014 MDCK2,5.209783673454004
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,6 AG,A/CALIFORNIA/4/2009 MDCK4,5.797818650326722
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,7 AG,A/MEXICO/4108/2009 MDCK3,5.541392954682252
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,8 AG,A/BRAZIL/11/1978 MDCK2,10.823020783250493
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,9 AG,A/NEW_CALEDONIA/20/1999 E2,4.088451527250648
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,10 AG,A/MICHIGAN/45/2015 MDCK3,7.275924838831422
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,11 AG,A/SWINE/NORTH_CAROLINA/A01797415/2015 MDCK3,4.778059697629639
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,12 AG,A/SWINE/IOWA/A01731653/2016 MDCK3,6.212321742917321
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,13 AG,A/SWINE/MEXICO/AVX31/2012 MDCK2,5.424175265710927
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,14 AG,A/SWINE/MEXICO/AVX23/2012 MDCK2,6.564273063508286
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,15 AG,A/SWINE/MEXICO/AVX44/2012 MDCK2,5.342322137630157
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,16 AG,A/SWINE/MEXICO/AVX18/2012 MDCK2,5.834831677899856
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,17 AG,A/SWINE/MEXICO/AVX61/2013 MDCK2,6.772730767278267
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,18 AG,A/SOLOMON_ISLANDS/3/2006 E2,5.909690103615534
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,19 AG,A/SWINE/ALBERTA/SD0125/2015 MDCK2,7.3234249336567645
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,20 AG,A/SWINE/SASKATCHEWAN/SD0094/2015 MDCK2,6.146106184617577
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,21 AG,A/SWINE/ALBERTA/SD0014/2013 MDCK2,7.972554427290894
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,22 AG,A/SWINE/ALBERTA/SD0154/2016 MDCK2,5.734247239486969
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,23 AG,A/SWINE/MANITOBA/D0333/2014 MDCK2,4.945492939946927
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,24 AG,A/SWINE/MANITOBA/D0392/2014 MDCK2,12.037276936966553
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,25 AG,A/SWINE/SASKATCHEWAN/SD0102/2015 MDCK2,11.227974238903682
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,26 AG,A/SWINE/MANITOBA/SD0114/2015 MDCK2,10.023644734123899
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,27 AG,A/SWINE/ALBERTA/SD0191/2016 MDCK2,9.29257506958062
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,28 AG,A/SWINE/SASKATCHEWAN/SD0200/2016 MDCK2,8.724780100273325
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,29 AG,A/SWINE/MANITOBA/D0348/2014 MDCK2,9.071341340415989
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,30 AG,A/MINNESOTA/45/2016 MDCK3,11.651258392714269
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,31 AG,A/SWINE/MINNESOTA/A01781045/2016 MDCK2,10.727625831358303
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,32 AG,A/SINGAPORE/1986 MDCK2,6.616092930767281
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,33 AG,A/TAIWAN/1/1986 MDCK2,9.296140828207413
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,34 AG,A/TEXAS/36/1991 MDCK2,8.530207226536913
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,35 AG,A/BEIJING/262/1995 MDCK2,7.744907417734134
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,36 AG,A/MICHIGAN/2/2003 MDCK2,6.829062849804553
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,37 AG,A/BRISBANE/59/2007 MDCK3,5.313302636440499
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,38 AG,A/SWINE/NORTH_CAROLINA/A01730369/2016 MDCK3,5.8064443403456885
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,39 AG,A/SOLOMON_ISLANDS/3/2006 E2/M1,5.6949749360166395
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,40 AG,A/SWINE/MINNESOTA/A01134353/2011 MDCK3,5.457054503339583
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,41 AG,A/SWINE/NEBRASKA/A01492366/2014 MDCK3,7.131536541970187
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,42 AG,A/SWINE/ILLINOIS/A01644323/2018 MDCK3,6.367547300947321
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,43 AG,A/SWINE/OKLAHOMA/A01409770/2014 MDCK3,9.450688398065083
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,44 AG,A/SWINE/ILLINOIS/A02139356/2018 MDCK3,10.84732214842992
2 AG,A/SWINE/OHIO/A01847657/2015 MDCK2,45 AG,A/SWINE/MICHIGAN/A01104117/2018 MDCK2,8.378077064854208
3 AG,A/OHIO/9/2015 MDCK2,4 AG,A/SWINE/ILLINOIS/A01493472/2014 MDCK2,4.319884609639363
3 AG,A/OHIO/9/2015 MDCK2,5 AG,A/SWINE/MINNESOTA/A01567490/2014 MDCK2,3.678067667038196
3 AG,A/OHIO/9/2015 MDCK2,6 AG,A/CALIFORNIA/4/2009 MDCK4,4.142677621358403
3 AG,A/OHIO/9/2015 MDCK2,7 AG,A/MEXICO/4108/2009 MDCK3,3.923344049165526
3 AG,A/OHIO/9/2015 MDCK2,8 AG,A/BRAZIL/11/1978 MDCK2,9.264642129241215
3 AG,A/OHIO/9/2015 MDCK2,9 AG,A/NEW_CALEDONIA/20/1999 E2,3.992985961561309
3 AG,A/OHIO/9/2015 MDCK2,10 AG,A/MICHIGAN/45/2015 MDCK3,5.4250573535453235
3 AG,A/OHIO/9/2015 MDCK2,11 AG,A/SWINE/NORTH_CAROLINA/A01797415/2015 MDCK3,3.257282846693739
3 AG,A/OHIO/9/2015 MDCK2,12 AG,A/SWINE/IOWA/A01731653/2016 MDCK3,4.673884789145891
3 AG,A/OHIO/9/2015 MDCK2,13 AG,A/SWINE/MEXICO/AVX31/2012 MDCK2,3.5985370402218417
3 AG,A/OHIO/9/2015 MDCK2,14 AG,A/SWINE/MEXICO/AVX23/2012 MDCK2,4.862130704898306
3 AG,A/OHIO/9/2015 MDCK2,15 AG,A/SWINE/MEXICO/AVX44/2012 MDCK2,3.7170841019781187
3 AG,A/OHIO/9/2015 MDCK2,16 AG,A/SWINE/MEXICO/AVX18/2012 MDCK2,5.338118367600343
3 AG,A/OHIO/9/2015 MDCK2,17 AG,A/SWINE/MEXICO/AVX61/2013 MDCK2,5.419766975627857
3 AG,A/OHIO/9/2015 MDCK2,18 AG,A/SOLOMON_ISLANDS/3/2006 E2,5.78313677444642
3 AG,A/OHIO/9/2015 MDCK2,19 AG,A/SWINE/ALBERTA/SD0125/2015 MDCK2,5.430179045136863
3 AG,A/OHIO/9/2015 MDCK2,20 AG,A/SWINE/SASKATCHEWAN/SD0094/2015 MDCK2,4.287853785649245
3 AG,A/OHIO/9/2015 MDCK2,21 AG,A/SWINE/ALBERTA/SD0014/2013 MDCK2,6.2128319033031865
3 AG,A/OHIO/9/2015 MDCK2,22 AG,A/SWINE/ALBERTA/SD0154/2016 MDCK2,3.8371594914819385
3 AG,A/OHIO/9/2015 MDCK2,23 AG,A/SWINE/MANITOBA/D0333/2014 MDCK2,4.172590009870337
3 AG,A/OHIO/9/2015 MDCK2,24 AG,A/SWINE/MANITOBA/D0392/2014 MDCK2,11.579452150353058
